PREGUNTA_NUMERO,PREGUNTA,CATEGORIAS
1,El instructor acompaña y orienta la solución de sus dificultades académicas y personales.,"NUNCA, DE VEZ EN CUANDO, SIEMPRE"
2,El instructor aplica estrategias participativas de trabajo en equipo que le permiten estar activo permanentemente en su proceso de aprendizaje.,"NUNCA, DE VEZ EN CUANDO, SIEMPRE"
3,El instructor demuestra dominio técnico.,"NO, SI"
4,El instructor desarrolla la totalidad de los resultados de aprendizaje programados.,"NO, SI"
5,El instructor es puntual al iniciar las sesiones.,"NUNCA, A VECES, SIEMPRE"
6,"El instructor establece relaciones interpersonales cordiales, armoniosas y respetuosas.","NUNCA, A VECES, SIEMPRE"
7,El instructor incentiva al aprendiz a utilizar la plataforma Territorium en el desarrollo de las actividades de aprendizaje.,"NUNCA, DE VEZ EN CUANDO, SIEMPRE"
8,"El instructor le da a conocer el proyecto formativo, la planeación pedagógica y las guiás de aprendizaje.","NUNCA, A VECES, SIEMPRE"
9,El instructor le orienta su formación mediante un proyecto formativo.,"NUNCA, A VECES, SIEMPRE"
10,"El instructor le propone fuentes de consulta (Bibliografía,  Webgrafia...) y ayudas que facilitan su proceso de aprendizaje.","NUNCA, A VECES, SIEMPRE"
11,El instructor revisa y asesora los planes de mejoramiento.,"NUNCA, A VECES, SIEMPRE"
12,"El instructor se preocupa por su mejoramiento continuo a nivel personal, social y laboral.","NUNCA, A VECES, SIEMPRE"
